"","id","Season","lower_team","higher_team","EM_diff","adj_off_diff","adj_def_diff","adj_tempo_diff","lower_team_court_adv","Spread","predicted_spreads"
"1","2021_1101_1104",2021,1101,1104,-14.89,-8.7,6.3,-4,1,10.9554996490479,10.9554996490479
"2","2021_1101_1111",2021,1101,1111,14.47,3.59999999999999,-10.8,4.2,1,-3.12827491760254,-3.12827491760254
"3","2021_1101_1116",2021,1101,1116,-11.42,-8.5,3,-3.19999999999999,1,5.63842153549194,5.63842153549194
"4","2021_1101_1124",2021,1101,1124,-19.37,-20.2,-0.799999999999997,1.5,1,13.4562091827393,13.4562091827393
"5","2021_1101_1140",2021,1101,1140,-10.73,-10,0.799999999999997,1.90000000000001,1,5.93213987350464,5.93213987350464
"6","2021_1101_1155",2021,1101,1155,-6.03,-3.80000000000001,2.2,5.7,1,5.58279705047607,5.58279705047607
"7","2021_1101_1156",2021,1101,1156,8.95,2.3,-6.59999999999999,3.60000000000001,1,-0.851042687892914,-0.851042687892914
"8","2021_1101_1159",2021,1101,1159,-0.0800000000000001,-7.90000000000001,-7.7,-2.5,1,3.39103531837463,3.39103531837463
"9","2021_1101_1160",2021,1101,1160,-11.52,-11.4,0.200000000000003,3.5,1,6.66781902313232,6.66781902313232
"10","2021_1101_1163",2021,1101,1163,-11.74,-10.5,1.3,3.90000000000001,1,4.61335754394531,4.61335754394531
"11","2021_1101_1166",2021,1101,1166,-11.14,-11.8,-0.599999999999994,0.800000000000011,1,6.96857500076294,6.96857500076294
"12","2021_1101_1179",2021,1101,1179,-4.46,-10.9,-6.40000000000001,3.10000000000001,1,5.14283275604248,5.14283275604248
"13","2021_1101_1180",2021,1101,1180,8.48,-4.10000000000001,-12.6,5.7,1,0.502006411552429,0.502006411552429
"14","2021_1101_1186",2021,1101,1186,3.53,-4.60000000000001,-8.09999999999999,-2.39999999999999,1,1.75191247463226,1.75191247463226
"15","2021_1101_1196",2021,1101,1196,-7.59,-8,-0.400000000000006,1.30000000000001,1,7.0681300163269,7.0681300163269
"16","2021_1101_1199",2021,1101,1199,-11.94,-13.4,-1.40000000000001,-0.599999999999994,1,6.40376472473145,6.40376472473145
"17","2021_1101_1207",2021,1101,1207,-3.9,-4.7,-0.700000000000003,0.300000000000011,1,5.92287969589233,5.92287969589233
"18","2021_1101_1210",2021,1101,1210,-8.41,-10.3,-1.8,2.10000000000001,1,7.39664649963379,7.39664649963379
"19","2021_1101_1211",2021,1101,1211,-26.4,-22.9,3.5,-4.89999999999999,1,19.1790943145752,19.1790943145752
"20","2021_1101_1213",2021,1101,1213,3.18,-0.600000000000009,-3.7,4.5,1,2.23872232437134,2.23872232437134
"21","2021_1101_1216",2021,1101,1216,12.87,5.5,-7.3,3.2,1,-2.74570536613464,-2.74570536613464
"22","2021_1101_1222",2021,1101,1222,-18.71,-15.9,2.90000000000001,5,1,13.6061944961548,13.6061944961548
